taxid	parent_taxid	assemblies_count	biosamples_count	institutes_count	countries_count	biosamples_with_coordinates_count	rank	scientific_name
2759		68660	68660	5697	246	21704	domain	Eukaryota
33154	2759	55860	55860	4393	242	18691	clade	Opisthokonta
33208	33154	29790	29790	2523	216	10856	kingdom	Metazoa
6072	33208	29558	29558	2517	216	10644	clade	Eumetazoa
33213	6072	29015	29015	2474	215	10401	clade	Bilateria
33511	33213	14893	14893	1455	177	2985	clade	Deuterostomia
7711	33511	14689	14689	1419	177	2913	phylum	Chordata
89593	7711	14552	14552	1403	177	2826	subphylum	Craniata
7742	89593	14552	14552	1403	177	2826	clade	Vertebrata
7776	7742	14516	14516	1399	177	2809	clade	Gnathostomata
117570	7776	14382	14382	1381	176	2739	clade	Teleostomi
117571	117570	14382	14382	1381	176	2739	clade	Euteleostomi
8287	117571	10345	10345	950	155	1878	superclass	Sarcopterygii
1338369	8287	10341	10341	950	154	1876	clade	Dipnotetrapodomorpha
32523	1338369	10335	10335	949	154	1876	clade	Tetrapoda
32524	32523	9976	9976	923	153	1747	clade	Amniota
40674	32524	5610	5610	615	107	609	class	Mammalia
32525	40674	5603	5603	615	107	607	clade	Theria
9347	32525	5202	5202	605	103	594	clade	Eutheria
1437010	9347	5128	5128	598	102	566	clade	Boreoeutheria
314146	1437010	3543	3543	302	65	206	superorder	Euarchontoglires
9443	314146	3049	3049	150	48	89	order	Primates
376913	9443	2968	2968	142	47	79	suborder	Haplorrhini
314293	376913	2961	2961	142	47	77	infraorder	Simiiformes
9526	314293	2820	2820	128	44	10	parvorder	Catarrhini
314295	9526	2654	2654	97	35	2	superfamily	Hominoidea
9604	314295	2628	2628	93	35	2	family	Hominidae
207598	9604	2615	2615	88	35	1	subfamily	Homininae
9605	207598	2574	2574	75	32	1	genus	Homo
9606	9605	2574	2574	75	32	1	species	Homo sapiens
9596	207598	22	22	9	4	0	genus	Pan
9598	9596	14	14	7	4	0	species	Pan troglodytes
37012	9598	1	1	1	0	0	subspecies	Pan troglodytes verus
9597	9596	8	8	4	0	0	species	Pan paniscus
9592	207598	19	19	11	3	0	genus	Gorilla
9593	9592	15	15	9	2	0	species	Gorilla gorilla
9595	9593	13	13	7	2	0	subspecies	Gorilla gorilla gorilla
499232	9592	4	4	2	1	0	species	Gorilla beringei
1159185	499232	3	3	1	1	0	subspecies	Gorilla beringei beringei
607660	9604	13	13	8	2	1	subfamily	Ponginae
9599	607660	13	13	8	2	1	genus	Pongo
9601	9599	8	8	5	1	0	species	Pongo abelii
9600	9599	5	5	4	1	1	species	Pongo pygmaeus
9577	314295	26	26	9	0	0	family	Hylobatidae
325165	9577	12	12	5	0	0	genus	Nomascus
61853	325165	6	6	3	0	0	species	Nomascus leucogenys
9586	325165	3	3	2	0	0	species	Nomascus siki
1616038	325165	1	1	1	0	0	species	Nomascus annamensis
29089	325165	1	1	1	0	0	species	Nomascus concolor
61852	325165	1	1	1	0	0	species	Nomascus gabriellae
9578	9577	6	6	3	0	0	genus	Hylobates
9588	9578	2	2	1	0	0	species	Hylobates muelleri
716694	9588	1	1	1	0	0	subspecies	Hylobates muelleri abbotti
9579	9578	1	1	1	0	0	species	Hylobates agilis
9587	9578	1	1	1	0	0	species	Hylobates klossii
81572	9578	1	1	1	0	0	species	Hylobates moloch
9589	9578	1	1	1	0	0	species	Hylobates pileatus
325166	9577	5	5	3	0	0	genus	Symphalangus
9590	325166	5	5	3	0	0	species	Symphalangus syndactylus
325167	9577	3	3	2	0	0	genus	Hoolock
593543	325167	3	3	2	0	0	species	Hoolock leuconedys
314294	9526	166	166	45	16	8	superfamily	Cercopithecoidea
9527	314294	166	166	45	16	8	family	Cercopithecidae
9528	9527	113	113	39	14	6	subfamily	Cercopithecinae
9539	9528	53	53	28	9	4	genus	Macaca
9544	9539	15	15	12	2	0	species	Macaca mulatta
9541	9539	14	14	9	2	0	species	Macaca fascicularis
9545	9539	4	4	3	2	2	species	Macaca nemestrina
9540	9539	2	2	2	1	1	species	Macaca arctoides
9551	9539	2	2	1	0	0	species	Macaca assamensis
78449	9539	2	2	2	1	0	species	Macaca cyclopis
9542	9539	2	2	2	1	0	species	Macaca fuscata
9543	9542	2	2	2	1	0	subspecies	Macaca fuscata fuscata
54600	9539	2	2	2	1	1	species	Macaca nigra
54601	9539	2	2	1	0	0	species	Macaca silenus
54602	9539	2	2	2	1	0	species	Macaca thibetana
257877	54602	1	1	1	0	0	subspecies	Macaca thibetana thibetana
90387	9539	1	1	1	0	0	species	Macaca leonina
90383	9539	1	1	1	0	0	species	Macaca maura
9548	9539	1	1	1	0	0	species	Macaca radiata
244255	9539	1	1	1	0	0	species	Macaca siberu
9546	9539	1	1	1	1	0	species	Macaca sylvanus
40843	9539	1	1	1	0	0	species	Macaca tonkeana
9554	9528	15	15	7	3	0	genus	Papio
9555	9554	3	3	3	1	0	species	Papio anubis
100937	9554	3	3	3	1	0	species	Papio papio
1945556	9554	2	2	1	1	0	species	Papio anubis x Papio cynocephalus
208510	9554	2	2	1	1	0	species	Papio cynocephalus x Papio anubis
9557	9554	2	2	1	0	0	species	Papio hamadryas
9556	9554	1	1	1	0	0	species	Papio cynocephalus
208091	9554	1	1	1	0	0	species	Papio kindae
36229	9554	1	1	1	0	0	species	Papio ursinus
9533	9528	14	14	5	1	1	genus	Cercopithecus
36227	9533	2	2	2	0	0	species	Cercopithecus neglectus
867370	9533	1	1	1	0	0	species	Cercopithecus albogularis
36223	9533	1	1	1	0	0	species	Cercopithecus ascanius
303588	9533	1	1	1	0	0	species	Cercopithecus campbelli
304410	303588	1	1	1	0	0	subspecies	Cercopithecus campbelli lowei
9535	9533	1	1	1	0	0	species	Cercopithecus cephus
36224	9533	1	1	1	0	0	species	Cercopithecus diana
9536	9533	1	1	1	0	0	species	Cercopithecus hamlyni
36225	9533	1	1	1	0	0	species	Cercopithecus mitis
36226	9533	1	1	1	1	1	species	Cercopithecus mona
36228	9533	1	1	1	0	0	species	Cercopithecus nictitans
100487	9533	1	1	1	0	0	species	Cercopithecus petaurista
102108	9533	1	1	1	0	0	species	Cercopithecus pogonias
1137049	9533	1	1	1	0	0	species	Cercopithecus roloway
392815	9528	9	9	6	2	1	genus	Chlorocebus
60711	392815	6	6	4	2	1	species	Chlorocebus sabaeus
9534	392815	2	2	1	0	0	species	Chlorocebus aethiops
60710	392815	1	1	1	0	0	species	Chlorocebus pygerythrus
9529	9528	4	4	2	0	0	genus	Cercocebus
9531	9529	1	1	1	0	0	species	Cercocebus atys
75569	9529	1	1	1	0	0	species	Cercocebus chrysogaster
3074498	9529	1	1	1	0	0	species	Cercocebus lunulatus
9530	9529	1	1	1	0	0	species	Cercocebus torquatus
9567	9528	4	4	3	1	0	genus	Mandrillus
9568	9567	2	2	2	0	0	species	Mandrillus leucophaeus
9561	9567	2	2	2	1	0	species	Mandrillus sphinx
9564	9528	4	4	3	1	0	genus	Theropithecus
9565	9564	4	4	3	1	0	species	Theropithecus gelada
2059839	9528	3	3	1	0	0	genus	Allochrocebus
100224	2059839	1	1	1	0	0	species	Allochrocebus lhoesti
147649	2059839	1	1	1	0	0	species	Allochrocebus preussi
147650	2059839	1	1	1	0	0	species	Allochrocebus solatus
9537	9528	3	3	2	0	0	genus	Erythrocebus
9538	9537	3	3	2	0	0	species	Erythrocebus patas
36230	9528	2	2	2	0	0	genus	Miopithecus
100488	36230	1	1	1	0	0	species	Miopithecus ogouensis
36231	36230	1	1	1	0	0	species	Miopithecus talapoin
54134	9528	1	1	1	0	0	genus	Allenopithecus
54135	54134	1	1	1	0	0	species	Allenopithecus nigroviridis
75565	9528	1	1	1	0	0	genus	Lophocebus
75566	75565	1	1	1	0	0	species	Lophocebus aterrimus
9569	9527	53	53	10	3	2	subfamily	Colobinae
54136	9569	18	18	4	1	0	genus	Trachypithecus
54180	54136	3	3	2	0	0	species	Trachypithecus francoisi
61618	54136	3	3	2	0	0	species	Trachypithecus phayrei
272121	61618	2	2	2	0	0	subspecies	Trachypithecus phayrei crepuscula
271260	54136	2	2	2	0	0	species	Trachypithecus germaini
222416	54136	1	1	1	0	0	species	Trachypithecus auratus
122765	54136	1	1	1	0	0	species	Trachypithecus cristatus
164650	54136	1	1	1	0	0	species	Trachypithecus geei
867383	54136	1	1	1	0	0	species	Trachypithecus hatinhensis
66063	54136	1	1	1	0	0	species	Trachypithecus johnii
465718	54136	1	1	1	0	0	species	Trachypithecus laotum
54181	54136	1	1	1	0	0	species	Trachypithecus obscurus
164651	54136	1	1	1	0	0	species	Trachypithecus pileatus
465719	54136	1	1	1	0	0	species	Trachypithecus poliocephalus
1042121	54136	1	1	1	1	0	species	Trachypithecus shortridgei
88028	9569	7	7	3	0	0	genus	Semnopithecus
88029	88028	3	3	3	0	0	species	Semnopithecus entellus
1208734	88028	1	1	1	0	0	species	Semnopithecus hypoleucos
1208733	88028	1	1	1	0	0	species	Semnopithecus priam
2804203	88028	1	1	1	0	0	species	Semnopithecus schistaceus
54137	88028	1	1	1	0	0	species	Semnopithecus vetulus
54132	9569	6	6	4	0	0	genus	Pygathrix
310352	54132	4	4	3	0	0	species	Pygathrix nigripes
693712	54132	1	1	1	0	0	species	Pygathrix cinerea
54133	54132	1	1	1	0	0	species	Pygathrix nemaeus
542827	9569	6	6	5	1	0	genus	Rhinopithecus
61622	542827	3	3	3	1	0	species	Rhinopithecus roxellana
61621	542827	2	2	2	0	0	species	Rhinopithecus bieti
1194336	542827	1	1	1	0	0	species	Rhinopithecus strykeri
9570	9569	4	4	3	0	0	genus	Colobus
33548	9570	2	2	1	0	0	species	Colobus guereza
54131	9570	1	1	1	0	0	species	Colobus angolensis
336983	54131	1	1	1	0	0	subspecies	Colobus angolensis palliatus
9572	9570	1	1	1	0	0	species	Colobus polykomos
43779	9569	4	4	4	1	1	genus	Nasalis
43780	43779	4	4	4	1	1	species	Nasalis larvatus
591932	9569	4	4	2	1	1	genus	Piliocolobus
164648	591932	1	1	1	0	0	species	Piliocolobus badius
591933	591932	1	1	1	0	0	species	Piliocolobus gordonorum
591937	591932	1	1	1	0	0	species	Piliocolobus kirkii
591936	591932	1	1	1	1	1	species	Piliocolobus tephrosceles
9573	9569	3	3	2	0	0	genus	Presbytis
78452	9573	1	1	1	0	0	species	Presbytis comata
78451	9573	1	1	1	0	0	species	Presbytis melalophos
272115	78451	1	1	1	0	0	subspecies	Presbytis melalophos mitrata
1046098	9573	1	1	1	0	0	species	Presbytis potenziani
1203020	9569	1	1	1	0	0	genus	Simias
170207	1203020	1	1	1	0	0	species	Simias concolor
9479	314293	141	141	26	5	67	parvorder	Platyrrhini
9498	9479	69	69	20	3	25	family	Cebidae
9480	9498	49	49	16	2	16	subfamily	Callitrichinae
9481	9480	20	20	13	1	3	genus	Callithrix
1965096	9481	20	20	13	1	3	subgenus	Callithrix
9483	1965096	17	17	11	1	3	species	Callithrix jacchus
52231	1965096	1	1	1	0	0	species	Callithrix geoffroyi
867363	1965096	1	1	1	0	0	species	Callithrix kuhlii
57378	1965096	1	1	1	0	0	species	Callithrix penicillata
9486	9480	14	14	5	2	5	genus	Saguinus
9490	9486	4	4	3	1	2	species	Saguinus oedipus
37588	9486	2	2	1	1	1	species	Saguinus bicolor
9491	9486	2	2	2	0	0	species	Saguinus imperator
30586	9486	2	2	1	0	0	species	Saguinus midas
43778	9486	1	1	1	0	0	species	Saguinus geoffroyi
1079039	9486	1	1	1	1	1	species	Saguinus inustus
78454	9486	1	1	1	0	0	species	Saguinus labiatus
9488	9486	1	1	1	1	1	species	Saguinus mystax
30587	9480	5	5	3	1	2	genus	Leontopithecus
30588	30587	4	4	3	1	2	species	Leontopithecus rosalia
57374	30587	1	1	1	0	0	species	Leontopithecus chrysomelas
1965102	9480	4	4	1	1	3	genus	Mico
9482	1965102	2	2	1	1	1	species	Mico argentatus
52232	1965102	1	1	1	1	1	species	Mico humeralifer
666519	1965102	1	1	1	1	1	species	Mico humilis
2681187	9480	3	3	1	1	1	genus	Leontocebus
9487	2681187	2	2	1	0	0	species	Leontocebus fuscicollis
9489	2681187	1	1	1	1	1	species	Leontocebus nigricollis
1965109	9480	2	2	1	1	2	genus	Cebuella
2826950	1965109	1	1	1	1	1	species	Cebuella niveiventris
9493	1965109	1	1	1	1	1	species	Cebuella pygmaea
9494	9480	1	1	1	0	0	genus	Callimico
9495	9494	1	1	1	0	0	species	Callimico goeldii
38070	9498	11	11	6	2	3	subfamily	Cebinae
9513	38070	6	6	4	2	2	genus	Cebus
9514	9513	3	3	2	0	0	species	Cebus albifrons
2715852	9513	1	1	1	1	0	species	Cebus imitator
37295	9513	1	1	1	1	1	species	Cebus olivaceus
1985288	9513	1	1	1	1	1	species	Cebus unicolor
1532884	38070	5	5	4	1	1	genus	Sapajus
9515	1532884	5	5	4	1	1	species	Sapajus apella
1547595	9515	1	1	1	1	1	subspecies	Sapajus apella macrocephalus
378850	9498	9	9	4	3	6	subfamily	Saimiriinae
9520	378850	9	9	4	3	6	genus	Saimiri
27679	9520	4	4	3	1	2	species	Saimiri boliviensis
39432	27679	2	2	2	0	0	subspecies	Saimiri boliviensis boliviensis
2946521	9520	1	1	1	1	1	species	Saimiri cassiquiarensis
2946522	9520	1	1	1	1	1	species	Saimiri macrodon
70928	9520	1	1	1	1	0	species	Saimiri oerstedii
9521	9520	1	1	1	1	1	species	Saimiri sciureus
66265	9520	1	1	1	1	1	species	Saimiri ustus
378855	9479	33	33	8	4	14	family	Atelidae
38068	378855	17	17	7	4	8	subfamily	Atelinae
9506	38068	11	11	5	4	7	genus	Ateles
9509	9506	4	4	3	1	0	species	Ateles geoffroyi
9507	9506	2	2	2	2	2	species	Ateles belzebuth
118643	9506	1	1	1	1	1	species	Ateles chamek
9508	9506	1	1	1	1	1	species	Ateles fusciceps
129801	9506	1	1	1	1	1	species	Ateles hybridus
1529884	9506	1	1	1	1	1	species	Ateles marginatus
9510	9506	1	1	1	1	1	species	Ateles paniscus
30593	38068	5	5	2	1	0	genus	Brachyteles
30594	30593	4	4	1	1	0	species	Brachyteles arachnoides
342807	30593	1	1	1	1	0	species	Brachyteles hypoxanthus
9518	38068	1	1	1	1	1	genus	Lagothrix
9519	9518	1	1	1	1	1	species	Lagothrix lagotricha
38066	378855	16	16	3	2	6	subfamily	Alouattinae
9499	38066	16	16	3	2	6	genus	Alouatta
2905217	9499	3	3	2	1	1	species	Alouatta discolor
9503	9499	3	3	2	1	2	species	Alouatta seniculus
1347729	9503	1	1	1	1	1	subspecies	Alouatta seniculus puruensis
30590	9499	2	2	1	1	1	species	Alouatta belzebul
9502	9499	2	2	2	1	0	species	Alouatta caraya
30589	9499	2	2	2	1	0	species	Alouatta palliata
182256	9499	1	1	1	1	0	species	Alouatta guariba
2946512	9499	1	1	1	1	1	species	Alouatta juara
198115	9499	1	1	1	1	1	species	Alouatta macconnelli
2905218	9499	1	1	1	1	0	species	Alouatta ululata
376919	9479	31	31	5	2	26	family	Pitheciidae
38069	376919	16	16	3	2	14	subfamily	Callicebinae
1812035	38069	12	12	3	2	10	genus	Plecturocebus
867332	1812035	2	2	1	1	2	species	Plecturocebus caligatus
202457	1812035	2	2	2	2	1	species	Plecturocebus cupreus
1812036	1812035	1	1	1	1	1	species	Plecturocebus bernhardi
1812042	1812035	1	1	1	1	1	species	Plecturocebus brunneus
1812037	1812035	1	1	1	1	1	species	Plecturocebus cinerascens
230833	1812035	1	1	1	0	0	species	Plecturocebus donacophilus
2488670	1812035	1	1	1	1	1	species	Plecturocebus grovesi
78255	1812035	1	1	1	1	1	species	Plecturocebus hoffmannsi
1812038	1812035	1	1	1	1	1	species	Plecturocebus miltoni
9523	1812035	1	1	1	1	1	species	Plecturocebus moloch
1812102	38069	4	4	1	1	4	genus	Cheracebus
2487712	1812102	1	1	1	1	1	species	Cheracebus lucifer
210166	1812102	1	1	1	1	1	species	Cheracebus lugens
1812110	1812102	1	1	1	1	1	species	Cheracebus regulus
30592	1812102	1	1	1	1	1	species	Cheracebus torquatus
38039	376919	15	15	4	1	12	subfamily	Pitheciinae
30597	38039	9	9	4	1	6	genus	Pithecia
43777	30597	3	3	3	0	0	species	Pithecia pithecia
2946514	30597	1	1	1	1	1	species	Pithecia albicans
2946515	30597	1	1	1	1	1	species	Pithecia chrysocephala
2946516	30597	1	1	1	1	1	species	Pithecia hirsuta
2946517	30597	1	1	1	1	1	species	Pithecia mittermeieri
2946518	30597	1	1	1	1	1	species	Pithecia pissinatti
2946519	30597	1	1	1	1	1	species	Pithecia vanzolinii
30595	38039	4	4	1	1	4	genus	Cacajao
535896	30595	1	1	1	1	1	species	Cacajao ayresi
30596	30595	1	1	1	1	1	species	Cacajao calvus
535897	30595	1	1	1	1	1	species	Cacajao hosomi
70825	30595	1	1	1	1	1	species	Cacajao melanocephalus
9524	38039	2	2	1	1	2	genus	Chiropotes
658221	9524	1	1	1	1	1	species	Chiropotes chiropotes
3134011	9524	1	1	1	1	1	species	Chiropotes sagulatus
376918	9479	8	8	3	1	2	family	Aotidae
9504	376918	8	8	3	1	2	genus	Aotus
37293	9504	4	4	2	0	0	species	Aotus nancymaae
30591	9504	1	1	1	0	0	species	Aotus azarai
292213	9504	1	1	1	0	0	species	Aotus griseimembra
9505	9504	1	1	1	1	1	species	Aotus trivirgatus
57176	9504	1	1	1	1	1	species	Aotus vociferans
376912	376913	7	7	4	1	2	infraorder	Tarsiiformes
9475	376912	7	7	4	1	2	family	Tarsiidae
1868481	9475	3	3	2	1	2	genus	Carlito
1868482	1868481	3	3	2	1	2	species	Carlito syrichta
3735306	1868482	2	2	1	1	2	subspecies	Carlito syrichta fraterculus
1971489	9475	2	2	2	0	0	genus	Cephalopachus
9477	1971489	2	2	2	0	0	species	Cephalopachus bancanus
9476	9475	2	2	1	0	0	genus	Tarsius
630277	9476	1	1	1	0	0	species	Tarsius lariang
981131	9476	1	1	1	0	0	species	Tarsius wallacei
376911	9443	81	81	16	3	10	suborder	Strepsirrhini
376915	376911	61	61	13	3	8	infraorder	Lemuriformes
9445	376915	29	29	9	3	3	family	Lemuridae
13513	9445	16	16	6	2	1	genus	Eulemur
13515	13513	3	3	2	0	0	species	Eulemur fulvus
47178	13515	1	1	1	0	0	subspecies	Eulemur fulvus collaris
87288	13513	2	2	2	1	0	species	Eulemur flavifrons
30602	13513	2	2	2	1	0	species	Eulemur macaco
34828	13513	2	2	2	0	0	species	Eulemur mongoz
859984	13513	2	2	2	1	1	species	Eulemur rufifrons
1215604	13513	1	1	1	0	0	species	Eulemur albifrons
13514	13513	1	1	1	0	0	species	Eulemur coronatus
34829	13513	1	1	1	0	0	species	Eulemur rubriventer
859983	13513	1	1	1	0	0	species	Eulemur rufus
122225	13513	1	1	1	0	0	species	Eulemur sanfordi
13556	9445	5	5	1	0	0	genus	Hapalemur
13557	13556	2	2	1	0	0	species	Hapalemur griseus
3370048	13556	1	1	1	0	0	species	Hapalemur alaotrensis
3043112	13556	1	1	1	0	0	species	Hapalemur meridionalis
867377	13556	1	1	1	0	0	species	Hapalemur occidentalis
9446	9445	4	4	3	1	2	genus	Lemur
9447	9446	4	4	3	1	2	species	Lemur catta
9454	9445	3	3	2	0	0	genus	Varecia
9455	9454	2	2	2	0	0	species	Varecia variegata
554167	9454	1	1	1	0	0	species	Varecia rubra
1328069	9445	1	1	1	0	0	genus	Prolemur
1328070	1328069	1	1	1	0	0	species	Prolemur simus
30615	376915	17	17	6	2	5	family	Cheirogaleidae
13149	30615	8	8	3	2	5	genus	Microcebus
30608	13149	3	3	2	1	0	species	Microcebus murinus
143354	13149	1	1	1	1	1	species	Microcebus griseorufus
2508170	13149	1	1	1	1	1	species	Microcebus jonahi
343908	13149	1	1	1	1	1	species	Microcebus lehilahytsara
122231	13149	1	1	1	1	1	species	Microcebus ravelobensis
143351	13149	1	1	1	1	1	species	Microcebus tavaratra
9459	30615	6	6	4	1	0	genus	Cheirogaleus
9460	9459	5	5	4	1	0	species	Cheirogaleus medius
47177	9459	1	1	1	0	0	species	Cheirogaleus major
83691	30615	3	3	3	0	0	genus	Mirza
339999	83691	2	2	2	0	0	species	Mirza zaza
47180	83691	1	1	1	0	0	species	Mirza coquereli
30599	376915	11	11	3	0	0	family	Indriidae
30600	30599	7	7	2	0	0	genus	Propithecus
379532	30600	1	1	1	0	0	species	Propithecus coquereli
475618	30600	1	1	1	0	0	species	Propithecus deckenii
475619	475618	1	1	1	0	0	subspecies	Propithecus deckenii coronatus
83281	30600	1	1	1	0	0	species	Propithecus diadema
543559	30600	1	1	1	0	0	species	Propithecus edwardsi
989338	30600	1	1	1	0	0	species	Propithecus perrieri
30601	30600	1	1	1	0	0	species	Propithecus tattersalli
34825	30600	1	1	1	0	0	species	Propithecus verreauxi
122245	30599	2	2	1	0	0	genus	Avahi
122246	122245	1	1	1	0	0	species	Avahi laniger
1313323	122245	1	1	1	0	0	species	Avahi peyrierasi
34826	30599	2	2	2	0	0	genus	Indri
34827	34826	2	2	2	0	0	species	Indri indri
30614	376915	4	4	1	0	0	family	Lepilemuridae
9452	30614	4	4	1	0	0	genus	Lepilemur
342401	9452	1	1	1	0	0	species	Lepilemur ankaranensis
78583	9452	1	1	1	0	0	species	Lepilemur dorsalis
78866	9452	1	1	1	0	0	species	Lepilemur ruficaudatus
78584	9452	1	1	1	0	0	species	Lepilemur septentrionalis
376917	376911	15	15	5	1	2	infraorder	Lorisiformes
9461	376917	10	10	4	1	2	family	Lorisidae
9469	9461	5	5	4	1	2	genus	Nycticebus
9470	9469	4	4	3	1	2	species	Nycticebus coucang
261741	9469	1	1	1	0	0	species	Nycticebus bengalensis
9467	9461	2	2	2	0	0	genus	Loris
300163	9467	1	1	1	0	0	species	Loris lydekkerianus
9468	9467	1	1	1	0	0	species	Loris tardigradus
9471	9461	2	2	1	0	0	genus	Perodicticus
9472	9471	2	2	1	0	0	species	Perodicticus potto
261737	9472	1	1	1	0	0	subspecies	Perodicticus potto ibeanus
261738	9461	1	1	1	0	0	genus	Arctocebus
261739	261738	1	1	1	0	0	species	Arctocebus calabarensis
40297	376917	5	5	3	1	0	family	Galagidae
9462	40297	2	2	2	0	0	genus	Galago
30609	9462	1	1	1	0	0	species	Galago moholi
9465	9462	1	1	1	0	0	species	Galago senegalensis
30610	40297	2	2	2	1	0	genus	Otolemur
9463	30610	1	1	1	0	0	species	Otolemur crassicaudatus
30611	30610	1	1	1	1	0	species	Otolemur garnettii
89671	40297	1	1	1	0	0	genus	Galagoides
89672	89671	1	1	1	0	0	species	Galagoides demidoff
376916	376911	5	5	4	1	0	infraorder	Chiromyiformes
30613	376916	5	5	4	1	0	family	Daubentoniidae
13038	30613	5	5	4	1	0	genus	Daubentonia
31869	13038	5	5	4	1	0	species	Daubentonia madagascariensis
314147	314146	485	485	171	31	115	clade	Glires
9989	314147	449	449	153	29	103	order	Rodentia
1963758	9989	313	313	113	23	54	suborder	Myomorpha
337687	1963758	298	298	111	23	46	clade	Muroidea
10066	337687	163	163	56	13	13	family	Muridae
39107	10066	139	139	42	10	12	subfamily	Murinae
10088	39107	87	87	22	6	2	genus	Mus
862507	10088	82	82	20	5	2	subgenus	Mus
10090	862507	76	76	18	5	2	species	Mus musculus
10092	10090	4	4	4	2	0	subspecies	Mus musculus domesticus
39442	10090	4	4	4	1	0	subspecies	Mus musculus musculus
10091	10090	3	3	2	1	0	subspecies	Mus musculus castaneus
57486	10090	1	1	1	0	0	subspecies	Mus musculus molossinus
10096	862507	3	3	3	0	0	species	Mus spretus
10089	862507	2	2	2	1	0	species	Mus caroli
10103	862507	1	1	1	0	0	species	Mus spicilegus
862508	10088	3	3	2	0	0	subgenus	Coelomys
10093	862508	3	3	2	0	0	species	Mus pahari
862510	10088	2	2	1	1	0	subgenus	Nannomys
10105	862510	2	2	1	1	0	species	Mus minutoides
10114	39107	22	22	10	2	1	genus	Rattus
10116	10114	20	20	8	2	1	species	Rattus norvegicus
10117	10114	2	2	2	1	0	species	Rattus rattus
73108	39107	8	8	1	1	0	genus	Tokudaia
742503	73108	3	3	1	1	0	species	Tokudaia muenninki
73109	73108	3	3	1	1	0	species	Tokudaia osimensis
742508	73108	2	2	1	1	0	species	Tokudaia tokunoshimensis
10128	39107	6	6	5	3	3	genus	Apodemus
400053	10128	3	3	2	1	2	species group	Sylvaemus group
10129	400053	3	3	2	1	2	species	Apodemus sylvaticus
105296	10128	2	2	2	1	0	species	Apodemus speciosus
39030	10128	1	1	1	1	1	species	Apodemus agrarius
61153	39107	4	4	2	1	3	genus	Arvicanthis
61156	61153	4	4	2	1	3	species	Arvicanthis niloticus
30639	39107	3	3	3	1	1	genus	Mastomys
10112	30639	2	2	2	1	1	species	Mastomys natalensis
35658	30639	1	1	1	0	0	species	Mastomys coucha
121588	39107	2	2	2	0	0	genus	Grammomys
491754	121588	1	1	1	0	0	species	Grammomys dolichurus
491861	121588	1	1	1	0	0	species	Grammomys surdaster
13150	39107	2	2	1	1	2	genus	Micromys
13151	13150	2	2	1	1	2	species	Micromys minutus
121572	39107	2	2	2	0	0	genus	Rhabdomys
996586	121572	1	1	1	0	0	species	Rhabdomys dilectus
121573	121572	1	1	1	0	0	species	Rhabdomys pumilio
34857	39107	1	1	1	0	0	genus	Hylomyscus
34858	34857	1	1	1	0	0	species	Hylomyscus alleni
237999	39107	1	1	1	0	0	genus	Rhynchomys
1217597	237999	1	1	1	0	0	species	Rhynchomys soricoides
36798	39107	1	1	1	0	0	genus	Uromys
36800	36798	1	1	1	0	0	species	Uromys caudimaculatus
326408	10066	12	12	8	2	1	subfamily	Deomyinae
10067	326408	12	12	8	2	1	genus	Acomys
10068	10067	3	3	3	0	0	species	Acomys cahirinus
60744	10067	2	2	2	1	0	species	Acomys dimidiatus
83762	10067	2	2	2	0	0	species	Acomys kempi
83528	10067	2	2	2	1	1	species	Acomys minous
83527	10067	2	2	2	0	0	species	Acomys percivali
60746	10067	1	1	1	0	0	species	Acomys russatus
10045	10066	10	10	10	2	0	subfamily	Gerbillinae
10046	10045	6	6	6	0	0	genus	Meriones
10047	10046	5	5	5	0	0	species	Meriones unguiculatus
2800508	10046	1	1	1	0	0	species	Meriones psammophilus
48138	10045	2	2	2	1	0	genus	Psammomys
48139	48138	2	2	2	1	0	species	Psammomys obesus
298893	10045	1	1	1	0	0	genus	Pachyuromys
298894	298893	1	1	1	0	0	species	Pachyuromys duprasi
186473	10045	1	1	1	1	0	genus	Rhombomys
186474	186473	1	1	1	1	0	species	Rhombomys opimus
248797	10066	1	1	1	0	0	subfamily	Lophiomyinae
248798	248797	1	1	1	0	0	genus	Lophiomys
248799	248798	1	1	1	0	0	species	Lophiomys imhausi
3371079	10066	1	1	1	0	0	genus	Montemys
3371118	3371079	1	1	1	0	0	species	Montemys delectorum
337677	337687	121	121	60	17	31	family	Cricetidae
39087	337677	52	52	28	10	16	subfamily	Arvicolinae
10053	39087	24	24	14	3	9	genus	Microtus
29092	10053	6	6	3	1	2	species	Microtus agrestis
79684	10053	4	4	3	0	0	species	Microtus ochrogaster
10058	10053	4	4	2	1	2	species	Microtus pennsylvanicus
47230	10053	2	2	2	0	0	species	Microtus arvalis
100895	10053	2	2	1	1	2	species	Microtus californicus
111838	10053	2	2	2	1	1	species	Microtus oregoni
111840	10053	2	2	2	1	1	species	Microtus richardsoni
2821547	111840	1	1	1	1	1	subspecies	Microtus richardsoni arvicoloides
88450	10053	1	1	1	1	1	species	Microtus montanus
523745	10053	1	1	1	1	0	species	Microtus obscurus
447134	39087	8	8	6	4	2	genus	Myodes
447135	447134	8	8	6	4	2	species	Myodes glareolus
2162899	39087	5	5	5	2	0	genus	Alexandromys
100897	2162899	3	3	3	1	0	species	Alexandromys fortis
2162900	2162899	2	2	2	1	0	species	Alexandromys oeconomus
465452	39087	3	3	3	1	0	genus	Neodon
