assembly_accession	assembly_level	assembly_submitter	assembly_refseq_category	species_taxid	species_scientific_name	biosample_lat	biosample_lon	biosample_collection_country	is_species_name_binomial	has_biosample_coordinates	has_submitter
GCA_000412225.2	Complete Genome	Duke University, Molecular Genetics and Microbiology	reference genome	566037	[Ashbya] aceris (nom. inval.)				false	false	true
GCA_963924405.1	Complete Genome	Genoscope CEA	reference genome	148631	[Candida] anglica			France	false	false	true
GCA_019775655.1	Scaffold	Jet Propulsion Laboratory, California Institute of Technology		148631	[Candida] anglica			USA	false	false	true
GCA_030557785.1	Scaffold	UW-Madison		148631	[Candida] anglica			USA	false	false	true
GCA_054123955.1	Scaffold	Genoscope		148631	[Candida] anglica			France	false	false	true
GCA_963924395.1	Scaffold	Genoscope CEA		148631	[Candida] anglica			United Kingdom	false	false	true
GCA_963924415.1	Scaffold	Genoscope CEA		148631	[Candida] anglica			France	false	false	true
GCA_963924425.1	Scaffold	Genoscope CEA		148631	[Candida] anglica			France	false	false	true
GCA_030566955.1	Scaffold	UW-Madison	reference genome	224212	[Candida] anutae			USA	false	false	true
GCA_030581555.1	Scaffold	UW-Madison	reference genome	1016838	[Candida] argentea			USA	false	false	true
GCA_030674335.1	Scaffold	UW-Madison	reference genome	391823	[Candida] ascalaphidarum			USA	false	false	true
GCA_003708745.2	Scaffold	UW-Madison		391823	[Candida] ascalaphidarum			USA	false	false	true
GCA_037935595.1	Complete Genome	Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences	reference genome	5477	[Candida] boidinii			China	false	false	true
GCA_001442605.1	Scaffold	University of Campinas		5477	[Candida] boidinii	-9.9688506	-37.26560899	Brazil	false	true	true
GCA_001599335.1	Scaffold	RIKEN Center for Life Science Technologies, Division of Genomic Technologies		5477	[Candida] boidinii				false	false	true
GCA_002007985.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Italy	false	false	true
GCA_002007995.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Spain	false	false	true
GCA_002008015.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Italy	false	false	true
GCA_002008025.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Italy	false	false	true
GCA_002008065.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Spain	false	false	true
GCA_002008075.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Italy	false	false	true
GCA_002008085.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Brazil	false	false	true
GCA_002008095.1	Scaffold	University of Sassari		5477	[Candida] boidinii			Russia	false	false	true
GCA_002864065.1	Scaffold	University of Aberystwyth		5477	[Candida] boidinii			Spain	false	false	true
GCA_003243125.1	Scaffold	UW-Madison		5477	[Candida] boidinii				false	false	true
GCA_023629675.1	Scaffold	Dalian Medical University		5477	[Candida] boidinii	38.914	121.6147	China	false	true	true
GCA_030267585.1	Contig	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)		5477	[Candida] boidinii			Japan	false	false	true
GCA_030267665.1	Contig	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)		5477	[Candida] boidinii			Japan	false	false	true
GCA_030267685.1	Contig	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)		5477	[Candida] boidinii			Japan	false	false	true
GCA_030267825.1	Contig	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)		5477	[Candida] boidinii			Japan	false	false	true
GCA_030267845.1	Contig	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)		5477	[Candida] boidinii			USSR	false	false	true
GCA_030267865.1	Contig	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)		5477	[Candida] boidinii			Japan	false	false	true
GCA_030567695.1	Scaffold	UW-Madison		5477	[Candida] boidinii			USA	false	false	true
GCA_037041165.1	Scaffold	Dalian Medical University		5477	[Candida] boidinii	38.914	121.6147	China	false	true	true
GCA_964186685.1	Scaffold	Instituto de Bioengenharia e Biociencias, Instituto Superior Tecnico		5477	[Candida] boidinii			Portugal	false	false	true
GCA_030571295.1	Scaffold	UW-Madison	reference genome	933257	[Candida] citri			USA	false	false	true
GCA_030579135.1	Scaffold	UW-Madison	reference genome	1041602	[Candida] danieliae			USA	false	false	true
GCA_003707735.2	Scaffold	UW-Madison	reference genome	64417	[Candida] freyschussii			USA	false	false	true
GCA_030572315.1	Scaffold	UW-Madison	reference genome	45606	[Candida] glucosophila			USA	false	false	true
GCA_030582695.1	Scaffold	UW-Madison	reference genome	1323752	[Candida] golubevii			USA	false	false	true
GCA_003708755.1	Scaffold	UW-Madison		1323752	[Candida] golubevii			USA	false	false	true
GCA_030561765.1	Scaffold	UW-Madison	reference genome	487106	[Candida] hainanensis			USA	false	false	true
GCA_002370145.1	Scaffold	University of Guelph	reference genome	1807681	[Candida] ipomoeae			Costa Rica	false	false	true
GCA_002370905.1	Scaffold	University of Guelph		1807681	[Candida] ipomoeae			Costa Rica	false	false	true
GCA_002374715.1	Scaffold	University of Guelph		1807681	[Candida] ipomoeae			Mexico	false	false	true
GCA_030566495.1	Scaffold	UW-Madison		1807681	[Candida] ipomoeae			USA	false	false	true
GCA_030572455.1	Scaffold	UW-Madison	reference genome	545640	[Candida] koratica (nom. ined.)			USA	false	false	true
GCA_030563775.1	Scaffold	UW-Madison	reference genome	931974	[Candida] loeiensis			USA	false	false	true
GCA_022457055.1	Scaffold	Instituto Superior Tecnico		651138	[Candida] membranifaciens subsp. flavinogenes	38.436778	-9.068056	Portugal	false	true	true
GCA_058218595.1	Contig	Colorado State University	reference genome	45568	[Candida] mesenterica	40.5853	-105.0844	USA	false	true	true
GCA_015708695.1	Scaffold	University of Western Ontario		45568	[Candida] mesenterica			Canada	false	false	true
GCA_030559045.1	Scaffold	UW-Madison		45568	[Candida] mesenterica			USA	false	false	true
GCA_058218575.1	Contig	Colorado State University		45568	[Candida] mesenterica	40.5853	-105.0844	USA	false	true	true
GCA_030558265.1	Scaffold	UW-Madison	reference genome	2861706	[Candida] pseudocylindracea			USA	false	false	true
GCA_030569275.1	Scaffold	UW-Madison	reference genome	907294	[Candida] sanyiensis			USA	false	false	true
GCA_030566775.1	Scaffold	UW-Madison	reference genome	1072099	[Candida] smagusa			USA	false	false	true
GCA_030564165.1	Scaffold	UW-Madison	reference genome	1853550	[Candida] sp.			USA	false	false	true
GCA_030557335.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030563385.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030567155.1	Contig	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030567185.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030567895.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030567915.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030567955.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030570575.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030571215.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030572555.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030574675.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030579995.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030580075.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030705185.1	Scaffold	UW-Madison		1853550	[Candida] sp.			USA	false	false	true
GCA_030407195.1	Scaffold	UW-Madison	reference genome	1183333	[Candida] tunisiensis			USA	false	false	true
GCA_003708715.3	Contig	UW-Madison	reference genome	560360	[Candida] wancherniae			USA	false	false	true
GCA_049863605.1	Complete Genome	Conway Institute, University College Dublin	reference genome	3367071	[Cyberlindnera] hibernica	51.75708	-9.56761	Ireland	false	true	true
GCA_002572855.1	Scaffold	Broad Institute	reference genome	73230	[Emmonsia] crescens			Canada	false	false	true
GCA_001008285.1	Scaffold	Broad Institute		73230	[Emmonsia] crescens			Norway	false	false	true
GCA_003707545.3	Contig	UW-Madison		45792	[Lipomyces] oligophaga			USA	false	false	true
GCA_038497815.1	Scaffold	DOE Joint Genome Institute	reference genome	45792	[Lipomyces] oligophaga				false	false	true
GCA_030572775.1	Scaffold	UW-Madison	reference genome	1930691	[Lipomyces] yamanashiensis			USA	false	false	true
GCA_040144395.1	Scaffold	Senckenberg	reference genome	41462	[Myrmecia] bisecta	46.704792	11.692829	Italy	false	true	true
GCA_043643485.1	Contig	University of Warwick	reference genome	2954835	[Neocosmospora] mangrovei	12.91	99.62	Thailand	false	true	true
GCA_057674295.1	Scaffold	NVWA	reference genome	3469074	[Neocosmospora] sp. B6999-1	51.9992	4.2175	Netherlands	false	true	true
GCA_057674185.1	Scaffold	NVWA		3469074	[Neocosmospora] sp. B6999-1	51.9992	4.2175	Netherlands	false	true	true
GCA_057674245.1	Scaffold	NVWA		3469074	[Neocosmospora] sp. B6999-1	51.9992	4.2175	Netherlands	false	true	true
GCA_057674285.1	Scaffold	NVWA		3469074	[Neocosmospora] sp. B6999-1	51.9992	4.2175	Netherlands	false	true	true
GCA_057674335.1	Scaffold	NVWA		3469074	[Neocosmospora] sp. B6999-1	51.9992	4.2175	Netherlands	false	true	true
GCA_057674405.1	Scaffold	NVWA		3469074	[Neocosmospora] sp. B6999-1	51.9992	4.2175	Netherlands	false	true	true
GCA_057674425.1	Scaffold	NVWA		3469074	[Neocosmospora] sp. B6999-1	51.9992	4.2175	Netherlands	false	true	true
GCA_057674085.1	Scaffold	NVWA	reference genome	3469075	[Neocosmospora] sp. B6999-2	51.9992	4.2175	Netherlands	false	true	true
GCA_057674165.1	Scaffold	NVWA		3469075	[Neocosmospora] sp. B6999-2	52.2446	4.8317	Netherlands	false	true	true
GCA_057674105.1	Scaffold	NVWA	reference genome	3469076	[Neocosmospora] sp. B6999-3	52.2446	4.8317	Netherlands	false	true	true
GCA_057673975.1	Scaffold	NVWA	reference genome	3469077	[Neocosmospora] sp. B6999-4	52.2446	4.8317	Netherlands	false	true	true
GCA_057673805.1	Scaffold	NVWA		3469077	[Neocosmospora] sp. B6999-4	52.2446	4.8317	Netherlands	false	true	true
GCA_057673865.1	Scaffold	NVWA		3469077	[Neocosmospora] sp. B6999-4	52.2446	4.8317	Netherlands	false	true	true
GCA_057673905.1	Scaffold	NVWA		3469077	[Neocosmospora] sp. B6999-4	52.2446	4.8317	Netherlands	false	true	true
GCA_057673925.1	Scaffold	NVWA		3469077	[Neocosmospora] sp. B6999-4	52.2446	4.8317	Netherlands	false	true	true
GCA_057673945.1	Scaffold	NVWA		3469077	[Neocosmospora] sp. B6999-4	52.2446	4.8317	Netherlands	false	true	true
GCA_057674065.1	Scaffold	NVWA		3469077	[Neocosmospora] sp. B6999-4	52.2446	4.8317	Netherlands	false	true	true
GCA_057673785.1	Scaffold	NVWA	reference genome	3469078	[Neocosmospora] sp. B6999-5	52.2446	4.8317	Netherlands	false	true	true
GCA_018873225.1	Scaffold	University of Dar es Salaam	reference genome	2796495	[Phialemoniopsis] sp. UDSM-2020	-8.8894	33.4387	Tanzania	false	true	true
GCA_008271595.1	Scaffold	Utah State University	reference genome	1485010	[Pythium] brassicae (nom. inval.)			USA	false	false	true
GCA_024606495.1	Contig	Shengyang Agricultural University		1540003	[Setosphaeria] turcica f. sp. sorghi	41.84	123.58	China	false	true	true
GCA_000825705.1	Scaffold	HKI JENA	reference genome	1531966	[Torrubiella] hemipterigena				false	false	true
GCA_054949465.1	Scaffold	National Center for Genetic Engineering and Biotechnology	reference genome	640698	[Wickerhamomyces] edaphicus (nom. inval.)	14.4	101.93	Thailand	false	true	true
GCA_010015735.1	Scaffold	DOE Joint Genome Institute	reference genome	1450172	Aaosphaeria arxii CBS 175.79				false	false	true
GCA_022813625.1	Scaffold	Jet Propulsion Laboratory, California Institute of Technology	reference genome	3025424	Aaosphaeria pasadenensis	34.11	-118.1752	USA	true	true	true
GCA_018250855.1	Contig	Florida Museum of Natural History	reference genome	1908738	Abaratha angulata			Myanmar	true	false	true
GCA_964197645.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	102642	Abax parallelepipedus	51.69	-1.32	United Kingdom	true	true	true
GCA_964197635.1	Scaffold	WELLCOME SANGER INSTITUTE		102642	Abax parallelepipedus	51.69	-1.32	United Kingdom	true	true	true
GCA_043235775.1	Chromosome	Myongji University	reference genome	126358	Abeliophyllum distichum			South Korea	true	false	true
GCA_035048815.1	Scaffold	Okra Genome Consortium	reference genome	455045	Abelmoschus esculentus			Netherlands	true	false	true
GCA_002812265.1	Scaffold	Institut de Biologia Evolutiva	reference genome	749232	Abeoforma whisleri			Canada	true	false	true
GCA_971864595.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	1384715	Abia aenea	51.51	-0.03	United Kingdom	true	true	true
GCA_971866655.1	Scaffold	WELLCOME SANGER INSTITUTE		1384715	Abia aenea	51.51	-0.03	United Kingdom	true	true	true
GCA_964212075.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	362089	Abia candens	52.56	0.6	United Kingdom	true	true	true
GCA_018237985.1	Contig	Florida Museum of Natural History	reference genome	2614024	Abisara bifasciata			Myanmar	true	false	true
GCA_022606235.1	Contig	DOE Joint Genome Institute	reference genome	137743	Abortiporus biennis				true	false	true
GCA_047301825.1	Contig	National Technical University of Athens (NTUA)		137743	Abortiporus biennis	39.364	21.9214	Greece	true	true	true
GCA_979025805.1	Chromosome	Genoscope	reference genome	399303	Abra alba	48.6386	-2.1969	Atlantic Ocean	true	true	true
GCA_965119695.1	Complete Genome	Flanders Research Institute for Agriculture, Fisheries and Food		399303	Abra alba			North Sea	true	false	true
GCA_979025605.1	Chromosome	Genoscope CEA		399303	Abra alba	48.6386	-2.1969	Atlantic Ocean	true	true	true
GCA_965244925.1	Chromosome	Genoscope	reference genome	3163778	Abra segmentum	42.66282	3.02978	Mediterranean Sea	true	true	true
GCA_022829085.1	Chromosome	The Max Planck Institute of Molecular Cell Biology and Genetics		38527	Abramis brama				true	false	true
GCA_022829165.1	Contig	The Max Planck Institute of Molecular Cell Biology and Genetics		38527	Abramis brama				true	false	true
GCA_963993115.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	38527	Abramis brama	53.03331	-1.052197	United Kingdom	true	true	true
GCA_963993125.1	Scaffold	WELLCOME SANGER INSTITUTE		38527	Abramis brama	53.03331	-1.052197	United Kingdom	true	true	true
GCA_976010855.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	1007343	Abraxas grossulariata	57.63	-5.35	United Kingdom	true	true	true
GCA_975968935.1	Scaffold	WELLCOME SANGER INSTITUTE		1007343	Abraxas grossulariata	57.63	-5.35	United Kingdom	true	true	true
GCA_964187985.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	190335	Abraxas sylvata	55.3948	-3.3288	United Kingdom	true	true	true
GCA_964188205.1	Scaffold	WELLCOME SANGER INSTITUTE		190335	Abraxas sylvata	55.3948	-3.3288	United Kingdom	true	true	true
GCA_984573235.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	319803	Abrostola asclepiadis	42.0924	27.79	Bulgaria	true	true	true
GCA_984573405.1	Scaffold	WELLCOME SANGER INSTITUTE		319803	Abrostola asclepiadis	42.0924	27.79	Bulgaria	true	true	true
GCA_905340225.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	938171	Abrostola tripartita	51.769	-1.339	United Kingdom	true	true	true
GCA_905340255.1	Contig	WELLCOME SANGER INSTITUTE		938171	Abrostola tripartita	51.769	-1.339	United Kingdom	true	true	true
GCA_946251915.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	254365	Abrostola triplasia	51.772	-1.338	United Kingdom	true	true	true
GCA_946251925.1	Contig	WELLCOME SANGER INSTITUTE		254365	Abrostola triplasia	51.772	-1.338	United Kingdom	true	true	true
GCA_003935025.1	Scaffold	Los Alamos National Laboratory	reference genome	3816	Abrus precatorius			USA	true	false	true
GCA_024086825.1	Chromosome	GuangDong Academy of Agricultural Sciences	reference genome	858909	Abrus pulchellus subsp. cantoniensis			China	false	false	true
GCA_023634445.1	Chromosome	Guangdong Academy of Agricultural Sciences		858909	Abrus pulchellus subsp. cantoniensis			China	false	false	true
GCA_030710515.1	Contig	Taipei Medical University	reference genome	2740424	Abscondita cerata			Taiwan	true	false	true
GCA_013368085.1	Scaffold	Northwestern Polytechnical University		2069292	Abscondita terminalis			China	true	false	true
GCA_977092135.1	Contig	ELIXIR Norway	reference genome	213030	Absidia cylindrospora	59.668299	10.759691	Norway	true	true	true
GCA_900079185.1	Scaffold	FRIEDRICH SCHILLER UNIVERSITY JENA	reference genome	4829	Absidia glauca				true	false	true
GCA_019677225.1	Scaffold	University of Melbourne	reference genome	2733465	Absidia healeyae			Australia	true	false	true
GCA_002105175.1	Contig	DOE Joint Genome Institute	reference genome	90262	Absidia repens				true	false	true
GCA_019677255.1	Scaffold	University of Melbourne		2735258	Absidia sp. UoMAU379			Australia	false	false	true
GCA_050656845.1	Scaffold	Shandong Normal University		3423207	Absidia sp. YW-2025a			China	false	false	true
GCA_050656855.1	Scaffold	Shandong Normal University		3423208	Absidia sp. YW-2025b			China	false	false	true
GCA_978850525.1	Contig	Leibniz Institute for Zoo and Wildlife Research	reference genome	3139678	Absolonia gigantea	44.87632	15.57215	Croatia	true	true	true
GCA_977929305.1	Chromosome	Genoscope	reference genome	50731	Abudefduf saxatilis	15.87423458	-61.6003353	Atlantic Ocean	true	true	true
GCA_043656515.1	Scaffold	Iridian Genomes	reference genome	36217	Abudefduf troschelii				true	false	true
GCA_019022655.1	Contig	Australian National University	reference genome	178749	Acacia acuminata			Australia	true	false	true
GCA_037177275.1	Scaffold	Iridian Genomes	reference genome	1524234	Acacia concinna				true	false	true
GCA_037074495.1	Chromosome	Agricultural Genomics Institute at Shenzhen, Chinese	reference genome	3809	Acacia confusa				true	false	true
GCA_034222035.1	Scaffold	USDA-ARS PGEC	reference genome	499986	Acacia crassicarpa			USA	true	false	true
GCA_048487655.1	Chromosome	Chinese Academy of Forestry	reference genome	138028	Acacia melanoxylon	23.19	113.384	China	true	true	true
GCA_019022615.1	Contig	Australian National University		138028	Acacia melanoxylon			Australia	true	false	true
GCA_025563575.1	Scaffold	Genomics for Australian Plants	reference genome	880440	Acacia pycnantha			Australia	true	false	true
GCA_964197845.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	281872	Acaena ovalifolia	55.966819	-3.2061007	United Kingdom	true	true	true
GCA_964197805.1	Chromosome	WELLCOME SANGER INSTITUTE		281872	Acaena ovalifolia	55.966819	-3.2061007	United Kingdom	true	true	true
GCA_984573925.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	346680	Acalles misellus	51.769	-1.328	United Kingdom	true	true	true
GCA_984573775.1	Scaffold	WELLCOME SANGER INSTITUTE		346680	Acalles misellus	51.769	-1.328	United Kingdom	true	true	true
GCA_948193465.1	Contig	Cornell University	reference genome	197604	Acalypha hispida			USA	true	false	true
GCA_034766995.1	Chromosome	China agricultural university	reference genome	1449960	Acanthacorydalis orientalis			China	true	false	true
GCA_000826245.1	Scaffold	UOL_CGR	reference genome	65658	Acanthamoeba astronyxis				true	false	true
GCA_000193105.1	Scaffold	Baylor College of Medicine		5755	Acanthamoeba castellanii				true	false	true
GCA_000826485.1	Scaffold	UOL_CGR		5755	Acanthamoeba castellanii				true	false	true
GCA_021020595.1	Contig	Institut Pasteur		5755	Acanthamoeba castellanii			Germany	true	false	true
GCA_021020605.1	Contig	Institut Pasteur		5755	Acanthamoeba castellanii	36.62	-121.92	USA	true	true	true
GCA_046056115.1	Contig	University of Vienna		5755	Acanthamoeba castellanii			Austria	true	false	true
GCA_903821525.1	Contig	URMITE		5755	Acanthamoeba castellanii				true	false	true
GCA_937900865.1	Contig	European Bioinformatics Institute		5755	Acanthamoeba castellanii	-33.9575	18.4606	South Africa	true	true	true
GCA_000313135.1	Scaffold	JCVI	reference genome	1257118	Acanthamoeba castellanii str. Neff			USA	false	false	true
GCA_002025285.2	Scaffold	AIT Austrian Institute of Technology	reference genome	65659	Acanthamoeba comandoni	50.35	7.58	Germany	true	true	true
GCA_000826265.1	Scaffold	UOL_CGR	reference genome	43142	Acanthamoeba culbertsoni				true	false	true
GCA_000826405.1	Scaffold	UOL_CGR	reference genome	202919	Acanthamoeba divionensis				true	false	true
GCA_046056075.1	Contig	University of Vienna	reference genome	29195	Acanthamoeba griffini			United Kingdom	true	false	true
GCA_000826305.1	Scaffold	UOL_CGR	reference genome	65661	Acanthamoeba healyi				true	false	true
GCA_002179805.1	Contig	National Yang-Ming University	reference genome	29196	Acanthamoeba lenticulata	22.56	120.46	Taiwan	true	true	true
GCA_000826285.1	Scaffold	UOL_CGR		29196	Acanthamoeba lenticulata				true	false	true
GCA_002105255.2	Scaffold	AIT Austrian Institute of Technology		29196	Acanthamoeba lenticulata	50.35	7.58	Germany	true	true	true
GCA_000826425.1	Scaffold	UOL_CGR	reference genome	61605	Acanthamoeba lugdunensis				true	false	true
GCA_000826465.1	Scaffold	UOL_CGR	reference genome	196912	Acanthamoeba mauritaniensis				true	false	true
GCA_000826325.1	Scaffold	UOL_CGR		28015	Acanthamoeba palestinensis				true	false	true
GCA_000826505.1	Scaffold	UOL_CGR	reference genome	65662	Acanthamoeba pearcei				true	false	true
GCA_001567625.1	Contig	Andrey V Karlyshev	reference genome	5757	Acanthamoeba polyphaga				true	false	true
GCA_000826345.1	Scaffold	UOL_CGR		5757	Acanthamoeba polyphaga				true	false	true
GCA_000826445.1	Scaffold	UOL_CGR	reference genome	211522	Acanthamoeba quina				true	false	true
GCA_000826385.1	Scaffold	UOL_CGR	reference genome	32599	Acanthamoeba rhysodes				true	false	true
GCA_000826365.1	Scaffold	UOL_CGR	reference genome	32600	Acanthamoeba royreba				true	false	true
GCA_978143355.1	Scaffold	London School of Hygiene & Tropical Medicine		3381675	Acanthamoeba sp. GP39-C1			United Kingdom	false	false	true
GCA_027943295.1	Contig	Post Graduate Institute of Medical Education and R		2919605	Acanthamoeba sp. SK_2022a	30.7333	76.7794	India	false	true	true
GCA_027943245.1	Contig	Post Graduate Institute of Medical Education and R		2919604	Acanthamoeba sp. SK_2022b	30.7333	76.7794	India	false	true	true
GCA_027944975.1	Contig	Post Graduate Institute of Medical Education and R		2919603	Acanthamoeba sp. SK_2022c	30.7333	76.7794	India	false	true	true
GCA_046055985.1	Contig	University of Vienna	reference genome	196913	Acanthamoeba terricola			USA	true	false	true
GCA_902749335.1	Contig	Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS, Faculte de Medecine, Universite de la Mediterranee, Marseille, France	reference genome	146752	Acanthamoeba triangularis				true	false	true
GCA_978045225.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	472225	Acanthascus dawsoni	49.299053	-124.169732	Canada	true	true	true
GCA_978045075.1	Scaffold	WELLCOME SANGER INSTITUTE		472225	Acanthascus dawsoni	49.299053	-124.169732	Canada	true	true	true
GCA_000950615.1	Scaffold	Okinawa Institute of Science and Technology		133434	Acanthaster planci	-16.1934	145.6964	Australia	true	true	true
GCA_001949145.1	Scaffold	Okinawa Institute of Science and Technology		133434	Acanthaster planci	26.6794	127.8794	Japan	true	true	true
GCA_001949165.1	Scaffold	Okinawa Institute of Science and Technology		133434	Acanthaster planci	-16.1934	145.6964	Australia	true	true	true
GCA_019972235.1	Scaffold	School of Life Science and Technology, Department of Life Science and Technology, Tokyo Institute of Techonology		133434	Acanthaster planci	7.36455	98.220964	Thailand	true	true	true
GCA_019972275.1	Scaffold	School of Life Science and Technology, Department of Life Science and Technology, Tokyo Institute of Techonology		133434	Acanthaster planci	29.504243	34.919364	Israel	true	true	true
GCA_025996575.1	Scaffold	University of Miyazaki		133434	Acanthaster planci	31.52	131.4	Japan	true	true	true
GCA_030586425.1	Scaffold	Applied Genomics Initiative		133434	Acanthaster planci			Australia	true	false	true
GCA_030586445.1	Contig	Rahul Vivek Rane		133434	Acanthaster planci			Australia	true	false	true
GCA_054643075.1	Chromosome	Chinese Academy of Sciences	reference genome	133434	Acanthaster planci			China	true	false	true
GCA_034779955.1	Scaffold	Iridian Genomes	reference genome	1603565	Acanthis cabaret				true	false	true
GCA_987194025.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	54769	Acanthis flammea	59.5309	-1.6286	United Kingdom	true	true	true
GCA_036873505.1	Scaffold	Iridian Genomes		54769	Acanthis flammea				true	false	true
GCA_045784905.1	Scaffold	Bird 10,000 Genomes (B10K) consortium		54769	Acanthis flammea			Norway	true	false	true
GCA_982553245.1	Scaffold	Center for Evolutionary Hologenomics, University of Copenhagen		54769	Acanthis flammea			Norway	true	false	true
GCA_987193375.1	Chromosome	WELLCOME SANGER INSTITUTE		54769	Acanthis flammea	59.5309	-1.6286	United Kingdom	true	true	true
GCA_982556275.1	Scaffold	Center for Evolutionary Hologenomics, University of Copenhagen	reference genome	90719	Acanthis hornemanni			Sweden	true	false	true
GCA_056576525.1	Scaffold	Bird 10,000 Genomes (B10K) consortium		90719	Acanthis hornemanni			Sweden	true	false	true
GCA_000695815.1	Scaffold	BGI	reference genome	57068	Acanthisitta chloris			New Zealand	true	false	true
GCA_016880875.1	Scaffold	Vertebrate Genomes Project		57068	Acanthisitta chloris	-43.464458	171.791763	New Zealand	true	true	true
GCA_016904835.3	Chromosome	Vertebrate Genomes Project		57068	Acanthisitta chloris	-43.464458	171.791763	New Zealand	true	true	true
GCA_060510905.1	Contig	Harvard University	reference genome	108821	Acanthiza chrysorrhoa	-30.2982	149.56267	Australia	true	true	true
GCA_036630365.1	Contig	The University of Sydney	reference genome	117193	Acanthiza pusilla			Australia	true	false	true
GCA_041053275.1	Scaffold	Max Planck Institute for Ornithology		117193	Acanthiza pusilla			Australia	true	false	true
GCA_977930445.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	241154	Acanthocardia echinata	51.708427	-5.166865	United Kingdom	true	true	true
GCA_977930415.1	Scaffold	WELLCOME SANGER INSTITUTE		241154	Acanthocardia echinata	51.708427	-5.166865	United Kingdom	true	true	true
GCA_046270865.1	Scaffold	Iridian Genomes	reference genome	1241320	Acanthocercus annectans				true	false	true
GCA_046270945.1	Scaffold	Iridian Genomes	reference genome	690289	Acanthocercus atricollis				true	false	true
GCA_043090985.1	Scaffold	Iridian Genomes	reference genome	1247901	Acanthocercus cyanogaster				true	false	true
GCA_046269685.1	Scaffold	Iridian Genomes	reference genome	2201893	Acanthocercus guentherpetersi				true	false	true
GCA_043090385.1	Scaffold	Iridian Genomes	reference genome	2516550	Acanthocercus minutus				true	false	true
GCA_900312575.1	Scaffold	CEES	reference genome	473344	Acanthochaenus luetkenii				true	false	true
GCA_046563165.1	Chromosome	University of Maryland, Baltimore	reference genome	6277	Acanthocheilonema viteae				true	false	true
GCA_900537255.1	Scaffold	BANG		6277	Acanthocheilonema viteae				true	false	true
GCA_984574045.1	Chromosome	WELLCOME SANGER INSTITUTE		6277	Acanthocheilonema viteae			United Kingdom	true	false	true
GCA_984574255.1	Chromosome	WELLCOME SANGER INSTITUTE		6277	Acanthocheilonema viteae			United Kingdom	true	false	true
GCA_048544545.1	Chromosome	Senckenberg	reference genome	3054875	Acanthochitona discrepans	54.4887	-5.543	Ireland	true	true	true
GCA_965278365.1	Chromosome	Genoscope	reference genome	55704	Acanthochitona fascicularis	42.870297	3.04669484	Mediterranean Sea	true	true	true
GCA_045838495.1	Chromosome	Ocean University of China	reference genome	761904	Acanthochitona rubrolineata			China	true	false	true
GCA_044231505.1	Chromosome	Yantai University		761904	Acanthochitona rubrolineata			China	true	false	true
