assembly_accession	assembly_level	assembly_submitter	assembly_refseq_category	species_taxid	species_scientific_name	biosample_lat	biosample_lon	biosample_collection_country	is_species_name_binomial	has_biosample_coordinates	has_submitter
GCA_963667165.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	50459	Barbarea vulgaris	51.4194	-0.3046	United Kingdom	true	true	true
GCA_001920985.1	Scaffold	Aarhus University		50459	Barbarea vulgaris			Denmark	true	false	true
GCA_963667155.1	Scaffold	WELLCOME SANGER INSTITUTE		50459	Barbarea vulgaris	51.4194	-0.3046	United Kingdom	true	true	true
GCA_022813145.1	Scaffold	Jet Propulsion Laboratory, California Institute of Technology	reference genome	1629402	Barbatosphaeria neglecta	34.11	-118.1752	USA	true	true	true
GCA_037178815.1	Chromosome	University of Debrecen		135647	Barbatula barbatula			Hungary	true	false	true
GCA_947034865.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	135647	Barbatula barbatula	53.908341	-1.609327	United Kingdom	true	true	true
GCA_947034905.1	Contig	WELLCOME SANGER INSTITUTE		135647	Barbatula barbatula	53.908341	-1.609327	United Kingdom	true	true	true
GCA_055682295.1	Contig	University of Potsdam	reference genome	524055	Barberetta aurea			South Africa	true	false	true
GCA_055682205.1	Contig	University of Potsdam		524055	Barberetta aurea			South Africa	true	false	true
GCA_055682315.1	Contig	University of Potsdam		524055	Barberetta aurea			South Africa	true	false	true
GCA_055697605.1	Contig	University of Potsdam		524055	Barberetta aurea			South Africa	true	false	true
GCA_055697645.1	Contig	University of Potsdam		524055	Barberetta aurea			South Africa	true	false	true
GCA_055697665.1	Contig	University of Potsdam		524055	Barberetta aurea			South Africa	true	false	true
GCA_984652425.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	1529943	Barbilophozia sudetica	56.52555556	-4.28277778	United Kingdom	true	true	true
GCA_049639485.1	Chromosome	Chinese Academy of Fishery Science	reference genome	319323	Barbodes semifasciolatus			China	true	false	true
GCA_049639465.1	Chromosome	Chinese Academy of Fishery Science		319323	Barbodes semifasciolatus			China	true	false	true
GCA_050231085.1	Contig	Yunnan Institute of Fishery Sciences Research	reference genome	369640	Barbodes wynaadensis	23.68	98.94	China	true	true	true
GCA_023566175.1	Chromosome	The Max Planck Institute of Molecular Cell Biology and Genetics		40830	Barbus barbus				true	false	true
GCA_023566205.1	Scaffold	The Max Planck Institute of Molecular Cell Biology and Genetics		40830	Barbus barbus				true	false	true
GCA_936440315.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	40830	Barbus barbus	53.03331	-1.052197	United Kingdom	true	true	true
GCA_936446605.1	Scaffold	WELLCOME SANGER INSTITUTE		40830	Barbus barbus	53.03331	-1.052197	United Kingdom	true	true	true
GCA_018247395.1	Contig	Florida Museum of Natural History	reference genome	2485976	Barca bicolor			China	true	false	true
GCA_981124155.1	Chromosome	WELLCOME SANGER INSTITUTE	reference genome	3402469	Barichneumon chionomus	51.77	0.7	United Kingdom	true	true	true
GCA_981113455.1	Scaffold	WELLCOME SANGER INSTITUTE		3402469	Barichneumon chionomus	51.77	0.7	United Kingdom	true	true	true
GCA_025447935.1	Scaffold	Iridian Genomes	reference genome	309859	Barnardius zonarius				true	false	true
GCA_023627795.1	Scaffold	Dalian Medical University	reference genome	36038	Barnettozyma californica	38.914	121.6147	China	true	true	true
GCA_003123585.1	Scaffold	University College Dublin		36038	Barnettozyma californica			Ireland	true	false	true
GCA_003123885.1	Scaffold	University College Dublin		36038	Barnettozyma californica			Ireland	true	false	true
GCA_003706655.3	Scaffold	UW-Madison		36038	Barnettozyma californica			USA	true	false	true
GCA_049863505.1	Complete Genome	Conway Institute, University College Dublin	reference genome	3367072	Barnettozyma discipulorum	51.75505	-9.56723	Ireland	true	true	true
GCA_003706665.2	Scaffold	UW-Madison	reference genome	96499	Barnettozyma hawaiiensis			USA	true	false	true
GCA_003706705.3	Scaffold	UW-Madison	reference genome	53645	Barnettozyma populi			USA	true	false	true
GCA_987087495.1	Contig	Quadram Institute Bioscience		3738075	Barnettozyma sp. NCYC 4493			United Kingdom	false	false	true
GCA_030580455.1	Scaffold	UW-Madison		2866339	Barnettozyma sp. UFMG-CM-Y5996			USA	false	false	true
GCA_030558145.1	Scaffold	UW-Madison	reference genome	683373	Barnettozyma sucrosica			USA	true	false	true
GCA_030569515.1	Scaffold	UW-Madison	reference genome	682598	Barnettozyma vustinii			USA	true	false	true
GCA_031353405.1	Scaffold	CNRS	reference genome	132695	Baronia brevicornis			Mexico	true	false	true
GCA_018248095.1	Contig	Florida Museum of Natural History		132695	Baronia brevicornis			Mexico	true	false	true
GCA_041381275.1	Contig	huaqiao university	reference genome	709514	Bartalinia pondoensis			China	true	false	true
GCA_040182905.1	Scaffold	Dalhousie University		2654833	Barthelona sp. PAP020			Palau	false	false	true
GCA_040285745.1	Contig	Dalhousie University		2654837	Barthelona sp. PCE			Canada	false	false	true
